Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2021,20.6,30.2,24.3,71,0.2,4.8,5,180,2,SE
02-08-2021,20.6,29.8,24.1,72,0.2,6,3,140,1,C 
03-08-2021,19.6,29.2,23,77,1.5,7.7,5,130,2,SE
04-08-2021,19.8,28,22.9,79,0.2,6.2,3,90,1,C 
05-08-2021,19.7,27.1,22.8,80,0.2,5.4,3,90,1,C 
06-08-2021,17.8,29.6,22.9,71,0.2,1.2,3,110,1,C 
07-08-2021,18,28.8,22.6,80,0.2,7.8,3,160,1,C 
08-08-2021,19.8,29.6,23.4,80,1,5.5,5,250,1,SW
09-08-2021,19.8,30,23.8,80,41.4,6,3,100,2,E 
10-08-2021,20,30.4,24.6,78,4.8,6.2,5,90,2,E 
11-08-2021,19.8,30,24.1,65,0.2,6.3,6,110,2,E 
12-08-2021,17.8,29.4,22.2,69,0.2,9.4,3,140,2,SE
13-08-2021,17.8,27.2,22.8,80,0.2,8,3,30,1,E 
14-08-2021,19.4,30.6,23.9,74,0.2,1.7,4,110,2,E 
15-08-2021,19.4,31,24.2,69,0.2,8.1,5,100,3,E 
16-08-2021,19.4,30.7,23.7,73,0.2,9.4,5,100,2,E 
17-08-2021,18.8,31,24.4,67,0.2,8.5,4,260,1,C 
18-08-2021,19,30,23.3,72,0.2,8.1,4,280,1,SE
19-08-2021,19.4,28,22.7,82,1.9,6.6,3,110,1,C 
20-08-2021,18.8,28,22.8,76,40.4,4.4,3,200,2,E 
21-08-2021,20.2,28,23.1,79,0.8,5.2,3,160,2,E 
22-08-2021,19.4,29.4,23.6,75,0.2,2.3,4,140,2,C 
23-08-2021,18.8,30.6,23.7,72,0.2,6.3,3,70,2,E 
24-08-2021,19.2,30,23.9,67,0.2,7,3,120,2,E 
25-08-2021,17.6,30.6,23.7,60,0.2,7.1,4,50,2,E 
26-08-2021,18.4,30.6,23.2,66,0.2,7.8,2,120,1,C 
27-08-2021,18.2,30.4,23.2,70,0.2,7.8,4,290,1,C 
28-08-2021,18,29,23,69,0.2,8.6,4,120,2,E 
29-08-2021,19,29,22.9,76,0.2,6.6,2,120,1,E 
30-08-2021,19.7,30.8,24.5,70,0.2,3.1,4,110,2,E 
31-08-2021,20.6,30.8,24.7,71,0.2,5.7,4,10,2,E 
01-09-2021,19.8,31.4,24.5,71,0.2,7.5,3,90,2,C 
02-09-2021,19.8,30.6,24.1,69,0.2,7.1,4,70,2,E 
03-09-2021,20,31.4,24.4,63,0.2,8.5,4,110,2,E 
04-09-2021,18.4,29.8,23.5,66,0.2,7.5,3,90,2,E 
05-09-2021,20.6,29.6,24.1,73,0.2,6.3,4,110,2,E 
06-09-2021,20.6,30.6,24.2,73,0.2,6,3,80,1,C 
07-09-2021,21.8,29.6,23.9,81,0.2,4,3,110,1,E 
08-09-2021,19.4,31.8,23.9,72,2.2,4.2,5,110,3,E 
09-09-2021,18.2,30.7,23.5,61,0.2,9.1,4,100,2,E 
10-09-2021,18.4,29.2,23.3,67,0.2,7.5,3,100,1,C 
11-09-2021,19,30,23.5,78,0.2,6.2,3,150,1,SE
12-09-2021,21,28.2,23.9,81,20,3.9,3,90,2,E 
13-09-2021,21.6,30,24.7,74,0.4,0.3,4,131,2,E 
14-09-2021,21.5,27.3,21.7,90,0.2,2.1,2,300,0,C 
15-09-2021,19.4,29.2,23.6,83,18.3,0,3,260,1,C 
16-09-2021,19,29.8,23.1,77,0.6,3.1,2,140,1,C 
17-09-2021,19.7,31,24.2,71,1.6,5.8,4,90,2,E 
18-09-2021,19.8,31.6,25.3,65,0.2,8.3,3,112,2,E 
19-09-2021,20.6,30.5,24.5,72,0.2,8.3,3,40,2,NE
20-09-2021,20.6,31.4,23.8,74,0.2,5.8,4,110,1,E 
21-09-2021,19,29.2,22.7,78,0.2,2.9,4,90,2,NW
22-09-2021,20.2,30.8,24.4,72,2.7,4.7,4,100,2,E 
23-09-2021,20.4,29.2,23.6,76,0.2,3.8,4,110,2,E 
24-09-2021,20.5,30.6,24.3,74,0.2,4.8,3,30,2,SE
25-09-2021,20.2,29.6,23.9,81,0.2,2.2,2,290,1,E 
26-09-2021,20,29.6,21.9,89,0.4,4.6,3,130,2,SE
27-09-2021,19.6,30,23.7,82,26.6,5.3,3,240,1,E 
28-09-2021,20.2,30.6,24.7,74,0.2,5.6,2,80,1,C 
29-09-2021,20.2,30.2,24.3,76,0.2,5.9,3,80,1,C 
30-09-2021,20.6,31.6,24.1,78,0.2,5.3,3,140,1,NW
01-10-2021,21.4,31.2,25.2,75,6,7.1,2,120,1,C 
02-10-2021,21.4,29.6,24.8,74,0.2,5.2,3,200,1,C 
03-10-2021,20.4,29.5,24,76,0.2,5.7,2,240,1,C 
04-10-2021,21.2,29.2,24.2,80,2.7,5.3,5,250,1,C 
05-10-2021,19.4,31.4,24.4,72,0.4,3.4,3,280,2,SW
06-10-2021,19.3,30.4,24.5,77,0.3,8.8,4,240,2,E 
07-10-2021,21,29.7,24.7,68,0.2,7.8,4,260,2,SW
08-10-2021,20.6,28.6,24,76,0.2,5.7,3,203,1,C 
09-10-2021,20.4,30.2,24.6,75,1.2,3.8,3,110,1,C 
10-10-2021,19.8,31.8,24.5,70,0.2,5.9,5,100,2,E 
11-10-2021,19.8,30.4,23.5,75,0.2,6.6,4,100,2,E 
12-10-2021,19.6,32.2,25,64,0.2,4.4,5,80,2,C 
13-10-2021,19.8,29.2,24.5,70,0.2,7.6,2,100,1,C 
14-10-2021,20.6,31,24.2,76,0.2,2.7,3,140,1,C 
15-10-2021,21,29.6,24.1,78,3.4,4.5,3,110,2,E 
16-10-2021,20.8,30,24.7,78,0.2,1.5,3,170,1,E 
17-10-2021,20,30.8,24.5,80,38.5,1.2,4,110,1,C 
18-10-2021,20.8,24.8,21.9,92,0.8,1,2,290,0,C 
19-10-2021,18.8,28.8,21.6,93,10.2,0,4,240,1,C 
20-10-2021,19.2,30.5,24,80,48.8,3.2,5,110,2,E 
21-10-2021,21,30.6,24.3,80,0.6,6.5,2,210,1,SW
22-10-2021,19.6,30.6,24,81,24,6.4,4,110,1,C 
23-10-2021,20,30,24,76,1,6.1,2,70,1,E 
24-10-2021,20.4,29.8,24.2,78,0.2,4.2,5,140,2,W 
25-10-2021,21.2,30.5,24.3,80,2.9,7,3,280,1,C 
26-10-2021,20,30.2,24,79,0.2,5.3,4,260,1,W 
27-10-2021,20.2,29,23.1,87,5.3,6.2,4,256,1,C 
28-10-2021,20.2,27.8,23.1,88,22.4,2.3,2,315,1,C 
29-10-2021,19.8,28.2,22.7,86,7.4,2.5,3,150,1,C 
30-10-2021,19.4,29.4,22.9,83,33.8,3.4,2,120,1,C 
31-10-2021,20.8,30.2,22.8,90,8.7,2.7,3,30,1,C 
01-11-2021,20.4,27.6,22.5,91,20.9,4.3,3,278,1,C 
02-11-2021,20,29.8,23,84,10.6,2.8,4,16,1,C 
03-11-2021,19.7,28.4,23.2,86,65.6,4.7,3,258,1,C 
04-11-2021,21.2,30.6,23.4,88,27.7,4.1,4,330,1,C 
05-11-2021,20.2,29.6,23.9,84,18.2,4.7,2,210,0,C 
06-11-2021,20.6,29.2,23.7,86,5,4.3,3,140,1,C 
07-11-2021,21.2,27.6,23,86,0.2,5.5,2,130,0,C 
08-11-2021,19.8,27.8,22.6,88,11,1.4,4,280,1,C 
09-11-2021,19.8,29.8,23.6,81,12.8,1.9,4,190,1,C 
10-11-2021,21.3,29,23.3,88,34.4,4.3,2,240,1,C 
11-11-2021,21,26.4,23.6,74,38.5,2.1,2,280,1,W 
12-11-2021,20.2,28,22.2,88,0.3,0,2,160,0,C 
13-11-2021,20,28.2,22.3,90,16.4,0.2,3,220,1,C 
14-11-2021,20.15506494,29.4,23.8,81,44.2,2.3,3,250,1,C 
15-11-2021,20.4,25.7,22.2,90,8.8,2.8,2,230,0,C 
16-11-2021,20.6,28.6,23.5,84,16.1,0.1,4,300,1,C 
17-11-2021,20,30.3,23.6,82,3.7,1.7,4,220,1,C 
18-11-2021,21.2,30.2,24.1,81,1.8,6.2,3,250,1,C 
19-11-2021,21.2,25.4,22.2,92,4.7,5.6,3,300,1,C 
20-11-2021,20.4,29.4,24,75,30.3,0,5,270,2,W 
21-11-2021,20.7,30.8,24.6,74,0.2,3.6,3,270,2,W 
22-11-2021,20.7,30.2,25.5,73,0.2,5.7,3,280,2,W 
23-11-2021,20.7,29.4,24.8,74,0.2,4.8,4,240,2,W 
24-11-2021,21.6,27,23.7,80,0.2,2.2,3,260,1,W 
25-11-2021,21,30.6,24.1,72,0.2,0.7,4,120,2,W 
26-11-2021,21.4,29.6,23.8,86,20,6.7,3,260,1,C 
27-11-2021,20.4,29.2,23.3,83,3.6,4.2,4,250,1,C 
28-11-2021,19.8,28,22.5,84,33.8,5,3,250,2,W 
29-11-2021,19.1,30.5,23,84,9,2.6,3,260,1,C 
30-11-2021,19.6,29,24,79,16.9,7.5,3,260,1,C 
01-12-2021,20.8,30.2,24.4,76,1.2,3.7,3,200,1,C 
02-12-2021,21,29.48076923,23.70641026,78.39666239,0.3,4.9,4,240,2,W 
03-12-2021,21,30.2,25.1,76,2,9.3,3,260,2,W 
04-12-2021,21.7,25,22.6,83,3.8,5.9,3,260,1,C 
05-12-2021,20.8,27.2,23.2,78,0.6,0,3,260,1,SW
06-12-2021,21.4,30,24.7,76,0.2,0.5,6,290,3,W 
07-12-2021,20.6,29.48076923,22.4,90,9.6,4.6,4,280,2,W 
08-12-2021,21.2,30.4,24.9,78,3.6,0.7,5,260,2,SW
09-12-2021,21.4,30.8,24.3,80,0.2,9,4,300,1,C 
10-12-2021,20.9,30,23.7,84,8.6,5.9,4,200,1,C 
11-12-2021,21,28.8,22.6,90,12,6.7,3,260,1,C 
12-12-2021,20.4,29.5,23.5,83,8.9,4,3,270,1,C 
13-12-2021,19.4,30.8,23.4,84,2.2,4.4,3,80,1,C 
14-12-2021,20,29.6,24,80,23,6.3,5,300,1,C 
15-12-2021,21,29.6,24.1,79,0.2,4,2,250,1,C 
16-12-2021,21.4,27.6,23.4,90,25.4,3.9,4,120,1,C 
17-12-2021,21.2,30,23.6,85,6.4,1.3,3,320,0,C 
18-12-2021,20.8,31,24.1,81,12.6,3.7,2,190,0,C 
19-12-2021,19.6,30,24,79,3,4.6,3,220,1,C 
20-12-2021,19.5,28.8,23.4,84,1,6,1,130,0,C 
21-12-2021,19.5,25,22.2,92,4.8,0.2,2,220,0,C 
22-12-2021,19.8,28.6,23.2,82,17,0,6,260,1,C 
23-12-2021,21,28.6,23.1,88,31.3,2.5,2,300,1,C 
24-12-2021,20.6,30,23.5,81,3.1,3.4,3,260,1,C 
25-12-2021,20.4,29.6,23.7,81,0.2,5.8,2,190,1,C 
26-12-2021,20.8,30.4,24.3,78,0.9,3.1,3,230,1,C 
27-12-2021,21,30.8,24.2,80,0.3,5.8,4,220,1,C 
28-12-2021,19.8,30.2,23.7,78,13.8,5.6,4,220,1,C 
29-12-2021,20.3,29.6,24.2,80,0.2,6,4,280,2,W 
30-12-2021,20.2,29.6,23.9,80,2.9,3,4,240,1,C 
31-12-2021,20.9,29.8,24.4,79,0.2,2.4,3,300,2,W 
01-01-2022,20.8,30,24.8,70,0.2,4.1,4,290,2,W 
02-01-2022,19.8,30.2,24.1,73,0.2,5,4,200,1,C 
03-01-2022,19.8,31,24.4,70,0.2,6,4,270,2,W 
04-01-2022,20.6,30.8,24.4,72,0.2,8.2,3,270,1,C 
05-01-2022,20.4,30.6,24.5,74,0.2,7.5,3,210,2,W 
06-01-2022,20.8,31.6,24.6,79,0.2,8,3,280,1,W 
07-01-2022,20.6,30.6,23.6,84,9.8,5.7,3,230,1,C 
08-01-2022,19.5,30.2,24,77,36.5,5,2,260,1,SW
09-01-2022,20.4,29.8,25,69,0.2,6.8,4,230,2,W 
10-01-2022,21,30.4,24.2,79,0.2,6.8,4,240,2,SW
11-01-2022,20.8,29.4,24.2,77,0.2,6.6,7,270,2,W 
12-01-2022,20.8,28.8,23.6,79,7.4,5.9,4,250,2,SW
13-01-2022,20.6,28.6,23.3,80,2.8,6.2,3,230,2,SW
14-01-2022,20.8,28.6,23.5,82,0.2,5,4,270,2,W 
15-01-2022,20.8,28.8,23.8,80,0.8,2.7,4,280,2,C 
16-01-2022,21.2,28.6,24.3,74,0.2,3.5,3,230,1,W 
17-01-2022,20.6,30.4,24.5,75,0.2,4,4,180,2,W 
18-01-2022,21,29.2,24.2,78,1.2,7.7,4,250,2,W 
19-01-2022,21.2,30.2,24,79,0.2,3,5,270,3,W 
20-01-2022,21.4,27,23.5,76,0.2,7.7,3,220,2,SW
21-01-2022,20.6,30,24,73,0.2,0.5,3,250,2,W 
22-01-2022,21.2,29.6,24.3,75,0.2,8.1,4,220,2,W 
23-01-2022,21.2,31,24.8,76,0.2,3.1,4,240,2,SW
24-01-2022,22.2,31.2,25.5,69,0.2,4.8,4,280,2,W 
25-01-2022,22.2,30.8,25.6,72,0.2,6.7,4,200,2,W 
26-01-2022,22,30.4,25,74,0.2,7.1,6,230,2,W 
27-01-2022,22,30.2,24.8,74,0.2,6,4,240,2,SW
28-01-2022,21.6,29.7,24.5,72,0.2,6.8,5,240,2,W 
29-01-2022,21.2,31.4,25.2,70,0.3,4.3,4,220,2,SW
30-01-2022,21,31.2,24.4,76,0.2,9,3,250,1,C 
31-01-2022,21.1,31.4,24.8,75,0.7,4.7,3,260,2,W 
01-01-2022,20.8,30,24.8,70,0.2,4.1,4,290,2,W 
02-01-2022,19.8,30.2,24.1,73,0.2,5,4,200,1,C 
03-01-2022,19.8,31,24.4,70,0.2,6,4,270,2,W 
04-01-2022,20.6,30.8,24.4,72,0.2,8.2,3,270,1,C 
05-01-2022,20.4,30.6,24.5,74,0.2,7.5,3,210,2,W 
06-01-2022,20.8,31.6,24.6,79,0.2,8,3,280,1,W 
07-01-2022,20.6,30.6,23.6,84,9.8,5.7,3,230,1,C 
08-01-2022,19.5,30.2,24,77,36.5,5,2,260,1,SW
09-01-2022,20.4,29.8,25,69,0.2,6.8,4,230,2,W 
10-01-2022,21,30.4,24.2,79,0.2,6.8,4,240,2,SW
11-01-2022,20.8,29.4,24.2,77,0.2,6.6,7,270,2,W 
12-01-2022,20.8,28.8,23.6,79,7.4,5.9,4,250,2,SW
13-01-2022,20.6,28.6,23.3,80,2.8,6.2,3,230,2,SW
14-01-2022,20.8,28.6,23.5,82,0.2,5,4,270,2,W 
15-01-2022,20.8,28.8,23.8,80,0.8,2.7,4,280,2,C 
16-01-2022,21.2,28.6,24.3,74,0.2,3.5,3,230,1,W 
17-01-2022,20.6,30.4,24.5,75,0.2,4,4,180,2,W 
18-01-2022,21,29.2,24.2,78,1.2,7.7,4,250,2,W 
19-01-2022,21.2,30.2,24,79,0.2,3,5,270,3,W 
20-01-2022,21.4,27,23.5,76,0.2,7.7,3,220,2,SW
21-01-2022,20.6,30,24,73,0.2,0.5,3,250,2,W 
22-01-2022,21.2,29.6,24.3,75,0.2,8.1,4,220,2,W 
23-01-2022,21.2,31,24.8,76,0.2,3.1,4,240,2,SW
24-01-2022,22.2,31.2,25.5,69,0.2,4.8,4,280,2,W 
25-01-2022,22.2,30.8,25.6,72,0.2,6.7,4,200,2,W 
26-01-2022,22,30.4,25,74,0.2,7.1,6,230,2,W 
27-01-2022,22,30.2,24.8,74,0.2,6,4,240,2,SW
28-01-2022,21.6,29.7,24.5,72,0.2,6.8,5,240,2,W 
29-01-2022,21.2,31.4,25.2,70,0.3,4.3,4,220,2,SW
30-01-2022,21,31.2,24.4,76,0.2,9,3,250,1,C 
31-01-2022,21.1,31.4,24.8,75,0.7,4.7,3,260,2,W 
01-02-2022,21.2,30.8,24,77,5,7.2,4,250,2,C 
02-02-2022,21.7,29.4,23.5,83,0.2,7.6,3,240,1,C 
03-02-2022,20.2,29.6,23.2,81,2.4,2.4,3,280,1,C 
04-02-2022,20.4,30,23.9,78,1.3,4.6,5,250,2,C 
05-02-2022,21.8,28,22.4,85,0.2,4.2,3,260,1,W 
06-02-2022,21.2,27.4,23.3,80,9.6,1.2,8,290,3,W 
07-02-2022,21,28,23.4,81,3.2,2.8,4,290,2,W 
08-02-2022,20,26.2,22.6,86,2.2,0.8,3,230,1,C 
09-02-2022,20,29.6,23,82,1.4,0.1,4,270,2,W 
10-02-2022,19.8,27.5,23,80,9.8,5.5,4,270,2,SW
11-02-2022,20.2,29.6,23.7,72,0.2,0.5,4,230,2,W 
12-02-2022,20,29.6,24.3,74,0.2,6.2,4,270,2,W 
13-02-2022,21.4,27.6,23.5,78,0.2,1.2,3,230,1,SW
14-02-2022,20.7,29.4,23.4,77,0.2,1.8,4,110,1,C 
15-02-2022,20.5,30.6,24.2,76,5.2,4.8,2,110,1,C 
16-02-2022,21.2,30.4,24.3,76,12,1.7,3,230,1,C 
17-02-2022,20.6,27.8,23.1,86,1.6,4.7,3,250,1,C 
18-02-2022,20.2,25.8,22.1,90,22.2,2.4,1,260,0,C 
19-02-2022,20,25.6,21.7,91,13,0,2,130,0,C 
20-02-2022,20,29,23.3,84,15.7,1.4,3,260,1,C 
21-02-2022,21.1,30,23.7,78,0.2,0.9,3,230,1,C 
22-02-2022,20.2,30.4,23.9,77,0.7,3.8,3,270,1,C 
23-02-2022,20.2,30.4,24.4,73,0.2,5.4,4,240,2,W 
24-02-2022,21.4,31,24.8,67,0.2,7.8,4,260,2,W 
25-02-2022,21,28.6,24.1,67,0.2,3,4,260,2,W 
26-02-2022,21.4,29.4,23.7,73,0.2,2.9,4,250,2,W 
27-02-2022,21.4,28,23.3,79,4.4,4.3,4,250,2,SW
28-02-2022,20.6,28,23.3,77,7.2,2.5,5,270,2,W 
01-03-2022,20.6,29.4,24,79,0.4,3.2,3,260,2,W 
02-03-2022,21.6,30.4,25.1,70,0.2,2.1,3,230,2,W 
03-03-2022,21.8,30.4,24.6,74,0.2,7.5,3,230,1,C 
04-03-2022,21.9,30.4,25.1,72,0.2,4.9,5,260,3,W 
05-03-2022,20.6,30.2,23.6,82,3.6,4.7,4,270,2,SW
06-03-2022,21,29.6,24.2,76,14.4,4.4,4,250,2,W 
07-03-2022,21.6,29.8,24.1,80,0.2,5.2,3,240,1,SW
08-03-2022,20.4,29.6,23.1,88,15,1.3,2,70,1,C 
09-03-2022,20,29.2,22.8,86,13.6,3.6,3,300,1,C 
10-03-2022,20.4,30.6,23.9,83,31.5,2.4,5,240,1,C 
11-03-2022,20.6,30.6,23.8,82,9.6,5.8,2,300,1,W 
12-03-2022,20.6,28.8,23.3,84,1.8,6.5,7,290,2,W 
13-03-2022,20,30.8,23.9,84,10.2,3.9,5,210,2,W 
14-03-2022,19.7,30.8,23.7,81,47,7.4,2,90,1,E 
15-03-2022,19.8,27.2,23.7,84,16,6,2,90,1,C 
16-03-2022,19.9,30.6,22.9,86,0.2,0.1,3,270,1,C 
17-03-2022,19.6,30.5,24.5,80,0.2,4,3,220,1,SW
18-03-2022,21.8,28.8,23.5,84,0.6,5,3,250,1,C 
19-03-2022,20,30.4,23.6,83,17,3.2,3,210,1,C 
20-03-2022,20.2,31.4,24.3,77,29,4.9,7,230,2,SW
21-03-2022,22,28.4,24.5,72,0.2,5.8,4,250,1,W 
22-03-2022,21.8,30.2,24.7,78.39666239,0.2,1.9,3,260,2,W 
23-03-2022,22,30.2,24.8,72,0.2,4.2,4,270,2,W 
